,Submarket,Housing_Type,Cluster
401,Mecklenburg County 28 (NC), Single Family,3
402,Mecklenburg County 30 (NC), Single Family,3
403,Mecklenburg County 30 (NC), Single Family,3
404,Mecklenburg County 28 (NC), Single Family,3
405,Mecklenburg County 29 (NC), Single Family,1
406,Mecklenburg County 36 (NC), Single Family,3
407,Mecklenburg County 36 (NC), Single Family,3
408,Mecklenburg County 30 (NC), Condominium,4
409,Mecklenburg County 17 (NC), Condominium,4
410,Mecklenburg County 15 (NC), Single Family,3
411,Huntersville, Single Family,2
412,Huntersville, Single Family,2
413,Huntersville, Single Family,2
414,Huntersville, Single Family,2
415,Mecklenburg County 18 (NC), Single Family,3
416,Mecklenburg County 15 (NC), Single Family,3
417,Mecklenburg County 15 (NC), Single Family,3
418,Mecklenburg County 28 (NC), Single Family,3
419,Mecklenburg County 28 (NC), Single Family,3
420,Mecklenburg County 19 (NC), Single Family,3
421,Mecklenburg County 13 (NC), Single Family,3
422,Mecklenburg County 13 (NC), Single Family,3
423,Mecklenburg County 13 (NC), Single Family,3
424,Mecklenburg County 28 (NC), Single Family,3
425,Mecklenburg County 28 (NC), Single Family,3
426,Mecklenburg County 28 (NC), Single Family,3
427,Mecklenburg County 28 (NC), Single Family,3
428,Mecklenburg County 28 (NC), Townhouse,1
429,Mecklenburg County 28 (NC), Single Family,3
430,Mecklenburg County 23 (NC), Condominium,4
431,Mecklenburg County 13 (NC), Single Family,3
432,Mecklenburg County 29 (NC), Townhouse,1
433,Mecklenburg County 29 (NC), Townhouse,1
434,Mecklenburg County 12 (NC), Single Family,3
435,Mecklenburg County 12 (NC), Single Family,3
436,Mecklenburg County 6 (NC), Single Family,3
437,Mecklenburg County 22 (NC), Single Family,3
438,Mecklenburg County 36 (NC), Single Family,3
439,Mecklenburg County 7 (NC), Single Family,3
440,Mecklenburg County 7 (NC), Single Family,3
441,Mecklenburg County 30 (NC), Single Family,3
442,Mecklenburg County 28 (NC), Townhouse,1
443,Mecklenburg County 28 (NC), Townhouse,1
444,Mecklenburg County 28 (NC), Townhouse,1
445,Mecklenburg County 10 (NC), Single Family,3
446,Mecklenburg County 23 (NC), Condominium,4
447,Mecklenburg County 30 (NC), Single Family,3
448,Mecklenburg County 36 (NC), Single Family,3
449,Mecklenburg County 20 (NC), Single Family,3
450,Mecklenburg County 11 (NC), Single Family,3
451,Mecklenburg County 11 (NC), Single Family,3
452,Mecklenburg County 11 (NC), Single Family,3
453,Mecklenburg County 13 (NC), Single Family,3
454,Mecklenburg County 34 (NC), Townhouse,1
455,Mecklenburg County 7 (NC), Single Family,3
456,Davidson, Single Family,3
