,Stories,Bedrooms,Bathrooms,Housing_Type,Cluster
335,1.0,1.0,1.0, Condominium,3
336,2.0,4.0,3.5, Single Family,0
337,2.0,2.0,2.5, Condominium,3
338,1.0,3.0,2.0, Single Family,1
339,2.0,4.0,2.5, Single Family,0
340,1.5,5.0,6.0, Single Family,0
341,2.0,4.0,4.0, Single Family,0
342,1.5,5.0,6.5, Single Family,0
343,1.0,3.0,2.0, Single Family,1
344,2.0,4.0,2.5, Single Family,0
345,1.0,2.0,1.0, Single Family,1
346,2.0,3.0,3.5, Single Family,0
347,2.0,2.0,2.0, Condominium,3
348,2.0,2.0,2.5, Condominium,3
349,2.0,2.0,2.5, Condominium,3
350,2.0,1.0,1.0, Condominium,3
351,1.0,1.0,1.0, Condominium,3
352,1.0,2.0,2.0, Single Family,1
353,2.0,3.0,3.0, Single Family,0
354,2.0,2.0,2.5, Single Family,0
355,2.0,3.0,3.5, Townhouse,2
356,2.0,4.0,3.5, Single Family,0
357,2.5,4.0,3.5, Single Family,0
358,2.0,3.0,2.5, Single Family,0
359,1.0,3.0,1.0, Single Family,1
360,2.0,4.0,3.0, Single Family,0
361,2.0,2.0,2.5, Condominium,3
362,2.0,2.0,2.5, Townhouse,2
363,2.0,3.0,2.5, Single Family,0
364,1.0,3.0,2.0, Single Family,1
365,2.0,3.0,2.5, Single Family,0
366,1.0,3.0,1.0, Single Family,1
367,2.0,4.0,3.5, Single Family,0
368,2.0,9.0,7.5, Single Family,0
369,2.0,4.0,2.5, Single Family,0
370,2.0,3.0,2.0, Single Family,0
371,2.0,4.0,2.5, Single Family,0
372,1.0,2.0,1.0, Single Family,1
373,2.0,3.0,2.5, Single Family,0
374,1.0,3.0,2.0, Single Family,1
375,1.0,3.0,2.0, Single Family,1
376,2.0,3.0,2.0, Single Family,0
377,2.0,4.0,2.5, Single Family,0
378,2.0,4.0,2.5, Single Family,0
379,2.0,3.0,3.0, Single Family,0
380,1.0,2.0,1.0, Condominium,3
381,1.0,3.0,2.0, Single Family,1
382,2.0,3.0,2.5, Single Family,0
383,2.0,3.0,2.5, Single Family,0
384,2.0,3.0,2.5, Single Family,0
385,2.0,3.0,2.5, Single Family,0
386,1.0,2.0,1.0, Townhouse,2
387,1.0,2.0,1.5, Single Family,1
388,2.0,4.0,2.5, Single Family,0
389,2.0,4.0,2.5, Single Family,0
390,2.0,3.0,2.5, Single Family,0
391,1.0,3.0,2.0, Single Family,1
392,2.0,4.0,2.5, Single Family,0
393,2.0,4.0,2.5, Single Family,0
394,2.0,4.0,2.5, Single Family,0
395,1.0,3.0,2.0, Single Family,1
396,1.0,2.0,2.0, Condominium,3
397,1.5,3.0,2.5, Townhouse,2
398,1.0,2.0,1.0, Condominium,3
399,2.0,3.0,2.5, Single Family,0
400,2.0,3.0,2.5, Single Family,0
401,1.5,3.0,2.5, Single Family,1
402,2.0,4.0,2.5, Single Family,0
403,2.0,3.0,2.5, Single Family,0
404,2.0,3.0,2.5, Single Family,0
405,2.0,5.0,2.5, Single Family,0
406,2.0,4.0,2.5, Single Family,0
407,2.0,3.0,2.5, Single Family,0
