,Site_Zip,Housing_Type,Cluster
549,28204, Condominium,3
550,28262, Condominium,3
551,28207, Single Family,2
552,28269, Single Family,2
553,28262, Single Family,2
554,28262, Single Family,2
555,28262, Townhouse,0
556,28105, Single Family,2
557,28209, Single Family,2
558,28216, Single Family,0
559,28277, Single Family,2
560,28277, Single Family,2
561,28210, Single Family,3
562,28210, Single Family,3
563,28078, Single Family,2
564,28078, Single Family,2
565,28078, Single Family,2
566,28078, Single Family,2
567,28078, Single Family,2
568,28078, Single Family,2
569,28078, Single Family,2
570,28078, Single Family,2
571,28226, Single Family,2
572,28226, Single Family,2
573,28204, Condominium,3
574,28214, Single Family,2
575,28214, Single Family,2
576,28227, Single Family,2
577,28227, Single Family,2
578,28227, Single Family,2
579,28078, Single Family,2
580,28214, Single Family,2
581,28208, Single Family,2
582,28207, Single Family,2
583,28207, Single Family,2
584,28209, Single Family,2
585,28209, Single Family,2
586,28214, Single Family,2
587,28208, Single Family,2
588,28036, Townhouse,0
589,28036, Townhouse,0
590,28036, Single Family,2
591,28213, Single Family,2
592,28213, Townhouse,0
593,28213, Townhouse,0
594,28078, Single Family,2
595,28205, Single Family,2
596,28205, Single Family,2
597,28202, Condominium,3
598,28036, Condominium,3
599,28078, Single Family,2
600,28078, Single Family,2
601,28078, Single Family,2
602,28213, Single Family,2
603,28078, Single Family,2
604,28216, Single Family,0
605,28216, Single Family,0
606,28214, Single Family,2
607,28270, Single Family,2
608,28202, Condominium,3
609,28269, Single Family,2
610,28105, Single Family,2
611,28204, Single Family,2
612,28031, Townhouse,1
613,28031, Townhouse,1
614,28031, Townhouse,1
615,28205, Single Family,2
616,28031, Condominium,1
617,28031, Condominium,1
618,28216, Single Family,0
619,28277, Single Family,2
620,28213, Single Family,2
621,28213, Townhouse,0
622,28213, Townhouse,0
623,28226, Single Family,2
624,28213, Single Family,2
625,28227, Townhouse,0
626,28227, Single Family,2
627,28227, Single Family,2
628,28227, Single Family,2
629,28227, Single Family,2
630,28227, Single Family,2
631,28273, Single Family,2
632,28273, Single Family,2
633,28078, Single Family,2
634,28203, Condominium,3
635,28227, Single Family,2
636,28078, Single Family,2
637,28036, Single Family,2
638,28278, Single Family,2
639,28270, Single Family,2
640,28210, Single Family,3
641,28210, Single Family,3
642,28262, Condominium,3
643,28215, Condominium,3
644,28215, Condominium,3
645,28226, Single Family,2
646,28210, Townhouse,3
647,28210, Condominium,3
648,28210, Condominium,3
649,28209, Single Family,2
650,28277, Single Family,2
651,28277, Single Family,2
652,28205, Condominium,3
653,28216, Single Family,0
654,28226, Single Family,2
655,28227, Single Family,2
656,28031, Single Family,1
657,28031, Single Family,1
658,28208, Single Family,2
659,28211, Single Family,4
660,28206, Single Family,2
661,28105, Single Family,2
662,28208, Single Family,2
663,28215, Single Family,2
664,28209, Townhouse,0
665,28277, Single Family,2
666,28270, Single Family,2
667,28205, Single Family,2
668,28215, Single Family,2
669,28078, Single Family,2
670,28216, Townhouse,0
671,28277, Single Family,2
672,28208, Single Family,2
673,28105, Single Family,2
674,28105, Single Family,2
675,28036, Condominium,3
676,28036, Condominium,3
677,28036, Condominium,3
678,28270, Single Family,2
679,28209, Condominium,3
680,28209, Condominium,3
681,28209, Condominium,3
682,28134, Single Family,2
683,28226, Single Family,2
684,28269, Townhouse,0
685,28269, Townhouse,0
686,28269, Townhouse,0
687,28270, Single Family,2
688,28270, Single Family,2
689,28277, Single Family,2
690,28277, Single Family,2
691,28277, Single Family,2
692,28277, Single Family,2
693,28209, Single Family,2
694,28270, Single Family,2
695,28226, Single Family,2
696,28211, Townhouse,4
697,28270, Single Family,2
698,28270, Single Family,2
699,28031, Single Family,1
700,28270, Single Family,2
701,28270, Single Family,2
702,28277, Single Family,2
703,28277, Single Family,2
704,28226, Single Family,2
705,28277, Single Family,2
706,28210, Condominium,3
707,28210, Single Family,3
708,28269, Single Family,2
