Stories,Bedrooms,Bathrooms,Housing_Type,Site_Zip,Housing_Age
2,3,2, Single Family,28215,9
1,3,2, Single Family,28227,45
2,3,2, Single Family,28078,19
2,3,2, Single Family,28078,18
2,3,2, Single Family,28078,17
2,3,2, Single Family,28078,18
2,2,2, Townhouse,28078,17
2,3,2, Single Family,28078,16
2,3,2, Single Family,28078,13
2,3,2, Single Family,28078,15
2,3,2, Single Family,28078,15
2,5,3, Single Family,28270,23
1,3,2, Single Family,28078,27
1,2,2, Condominium,28204,22
2,4,2, Single Family,28269,27
2,4,3, Single Family,28210,59
1,2,2, Townhouse,28031,14
1,3,2, Single Family,28227,35
1,3,2, Single Family,28227,34
2,3,2, Single Family,28227,34
1,3,2, Single Family,28134,33
1,3,2, Single Family,28134,33
1,3,2, Single Family,28134,34
1,3,2, Single Family,28134,33
1,3,2, Single Family,28134,36
1,3,2, Single Family,28134,37
1,3,2, Single Family,28205,65
1,3,2, Single Family,28205,59
1,3,1, Single Family,28205,62
1,3,1, Single Family,28205,59
1,3,2, Single Family,28205,59
1,3,1, Single Family,28205,55
2,4,3, Single Family,28214,31
2,4,4, Townhouse,28036,4
2,5,5, Single Family,28036,13
2,2,2, Townhouse,28036,19
2,3,2, Single Family,28269,31
2,4,2, Single Family,28269,31
2,3,2, Single Family,28216,13
1,3,3, Single Family,28227,17
2,4,3, Single Family,28105,20
2,5,3, Single Family,28211,50
1,3,1, Single Family,28269,51
2,3,2, Single Family,28269,25
2,3,2, Single Family,28031,27
1,3,1, Single Family,28203,121
2,4,4, Single Family,28203,21
2,5,4, Single Family,28203,13
1,4,3, Single Family,28203,80
2,3,2, Single Family,28262,18
2,4,4, Single Family,28203,15
1,2,2, Condominium,28031,32
1,2,2, Condominium,28031,32
1,3,1, Single Family,28031,56
1,3,2, Single Family,28278,63
1,3,2, Single Family,28212,37
1,3,2, Single Family,28212,36
2,4,3, Single Family,28212,38
2,3,2, Single Family,28269,27
1,3,2, Single Family,28277,40
2,3,2, Single Family,28277,41
1,3,2, Single Family,28277,40
2,4,3, Single Family,28211,3
1,2,1, Single Family,28215,37
1,3,2, Other,28216,29
2,5,3, Single Family,28269,18
1,3,4, Single Family,28203,83
2,3,2, Single Family,28212,48
2,3,2, Single Family,28212,48
1,3,2, Single Family,28031,24
2,4,2, Single Family,28036,54
1,3,2, Single Family,28269,21
2,3,2, Single Family,28269,18
2,3,2, Single Family,28269,25
2,2,2, Townhouse,28269,15
2,2,2, Townhouse,28269,15
2,3,2, Single Family,28269,22
1,3,2, Single Family,28212,53
1,3,2, Single Family,28212,49
2,5,7, Single Family,28207,15
1,2,1, Single Family,28205,67
1,3,1, Single Family,28205,68
1,3,1, Single Family,28205,66
1,3,2, Single Family,28205,67
1,3,2, Other,28105,20
1,3,2, Single Family,28205,69
1,3,1, Single Family,28205,68
2,3,2, Single Family,28277,23
2,4,3, Single Family,28277,23
2,4,3, Single Family,28105,17
1,2,2, Condominium,28204,14
1,3,2, Single Family,28227,17
1,3,2, Condominium,28036,25
1,3,3, Condominium,28278,33
1,2,2, Condominium,28278,31
2,3,2, Townhouse,28277,12
2,3,2, Townhouse,28277,12
2,4,4, Single Family,28277,26
1,3,2, Single Family,28208,86
1,3,1, Single Family,28208,76
1,3,1, Single Family,28208,96
1,2,1, Single Family,28208,75
1,2,1, Single Family,28208,91
1,3,1, Single Family,28208,96
1,3,1, Single Family,28208,85
1,2,1, Single Family,28208,74
1,2,2, Condominium,28270,43
2,4,2, Single Family,28105,15
2,4,2, Single Family,28269,23
1,3,2, Single Family,28269,20
1,3,1, Single Family,28269,20
2,4,3, Single Family,28227,40
2,3,2, Single Family,28226,43
1,3,2, Single Family,28226,48
2,4,2, Single Family,28278,15
2,3,2, Single Family,28278,12
2,4,3, Single Family,28278,6
2,4,3, Single Family,28278,14
