,Site_Zip,Stories,Sale_Price,Bedrooms,Housing_Type,Cluster
282,28203,1.0,505000,3.0, Single Family,0
283,28203,2.5,1725000,4.0, Single Family,0
284,28203,2.0,1575000,5.0, Single Family,0
285,28203,1.5,810000,4.0, Single Family,0
286,28203,2.0,935000,4.0, Single Family,0
287,28031,1.0,280000,2.0, Condominium,4
288,28031,1.0,230500,2.0, Condominium,4
289,28031,1.0,250000,3.0, Single Family,0
290,28278,1.0,210000,3.0, Single Family,0
291,28212,1.0,184000,3.0, Single Family,0
292,28212,2.0,209000,4.0, Single Family,0
293,28277,1.0,325000,3.0, Single Family,0
294,28277,2.0,300000,3.0, Single Family,0
295,28277,1.0,300000,3.0, Single Family,0
296,28215,1.0,154000,2.0, Single Family,0
297,28203,1.5,1075000,3.0, Single Family,0
298,28036,2.0,300000,4.0, Single Family,0
299,28269,2.0,187000,2.0, Townhouse,4
300,28212,1.0,228000,3.0, Single Family,0
301,28207,2.5,3035000,5.0, Single Family,0
302,28205,1.0,233000,3.0, Single Family,0
303,28205,1.0,221000,3.0, Single Family,0
304,28205,1.0,280000,3.0, Single Family,0
305,28277,2.0,303500,3.0, Single Family,0
306,28277,2.0,300000,4.0, Single Family,0
307,28105,2.0,513500,4.0, Single Family,0
308,28204,1.0,242000,2.0, Condominium,4
309,28227,1.5,375000,3.0, Single Family,3
310,28036,1.0,315000,3.0, Condominium,4
311,28278,1.0,241500,2.0, Condominium,4
312,28277,2.0,395000,3.0, Townhouse,4
313,28277,2.0,315000,3.0, Townhouse,4
314,28277,2.0,500000,4.0, Single Family,0
315,28270,1.0,169000,2.0, Condominium,4
316,28105,2.0,318500,4.0, Single Family,0
317,28269,2.0,330000,4.0, Single Family,0
318,28227,2.0,255000,4.0, Single Family,3
319,28226,2.0,244000,3.0, Single Family,0
320,28226,1.0,264000,3.0, Single Family,0
321,28278,2.0,290000,4.0, Single Family,0
322,28278,2.0,287000,4.0, Single Family,0
323,28269,1.0,239000,3.0, Single Family,0
324,28227,2.0,365000,5.0, Single Family,3
325,28227,2.5,314000,4.0, Single Family,3
326,28273,1.0,262000,3.0, Single Family,0
327,28202,1.0,242000,2.0, Condominium,1
328,28211,1.0,520000,3.0, Single Family,2
329,28269,2.0,248000,3.0, Single Family,0
330,28211,1.0,715000,4.0, Single Family,2
331,28205,2.0,569000,3.0, Single Family,0
332,28211,2.0,1500000,4.0, Single Family,2
333,28262,2.0,345000,4.0, Single Family,0
334,28202,1.0,270000,2.0, Condominium,1
335,28202,1.0,183000,1.0, Condominium,1
336,28226,2.0,565000,4.0, Single Family,0
337,28227,2.0,97000,2.0, Condominium,3
338,28227,1.0,402000,3.0, Single Family,3
339,28212,2.0,330000,4.0, Single Family,0
340,28211,1.5,2995000,5.0, Single Family,2
341,28211,2.0,1970000,4.0, Single Family,2
342,28211,1.5,2447000,5.0, Single Family,2
343,28205,1.0,435000,3.0, Single Family,0
344,28262,2.0,228000,4.0, Single Family,0
345,28205,1.0,250000,2.0, Single Family,0
346,28211,2.0,565000,3.0, Single Family,2
347,28202,2.0,295500,2.0, Condominium,1
348,28210,2.0,211500,2.0, Condominium,4
349,28210,2.0,230000,2.0, Condominium,4
350,28202,2.0,238000,1.0, Condominium,1
